publication_id,duplicate_status,year,title,faculty,doi,review_notes
mangrove-forest-extent-mapping-in-southwestern-luzon-using-2015-landsat-imager-569f6518,possible-duplicate,2015,Mangrove forest extent mapping in Southwestern Luzon using 2015 landsat imagery,Ayin M. Tamondong,,Candidate only; do not auto-merge without maintainer review.
mangrove-forest-extent-mapping-in-southwestern-luzon-using-2015-landsat-imager-12c515aa,possible-duplicate,2017,Mangrove Forest Extent Mapping in Southwestern Luzon Using 2015 Landsat Imagery,Ariel C. Blanco,,Candidate only; do not auto-merge without maintainer review.
