faculty,source_linked_records,canonical_publications,clean_for_review,exceptions,doi_bearing,multi_faculty
Ariel C. Blanco,234,232,227,5,29,45
Ayin M. Tamondong,67,67,66,1,47,30
Erica Erin E. Elazegui,10,10,10,0,2,2
John Emmanuel D. Escoto,7,7,7,0,1,5
Jommer M. Medina,24,24,23,1,5,16
Margaux Angelica A. Cruz,9,9,5,4,0,0
